timestamp,frame_channels,band_no,total_channels,start_freq_MHz,end_freq_MHz,step_kHz,freq_0,freq_1,freq_2,freq_3,freq_4,freq_5,freq_6,freq_7,freq_8,freq_9,freq_10
2026-04-12 15:00:22.981,0,0,0,0.0,0.0,0.0,2,0,2,-3,-771,-3,-259,-771,-259,-771,-260
2026-04-12 15:00:22.981,0,0,0,0.0,0.0,0.0,1,0,4,-259,-3,-772,-514
2026-04-12 15:00:22.981,0,0,0,0.0,0.0,0.0,2,0,0,-515,-259,-3,-3,-2,-259,-515
2026-04-12 15:00:22.981,0,0,0,0.0,0.0,0.0,2,0,2,-515,-515,-259,-515,-515,-3,-771
2026-04-12 15:00:22.981,0,0,0,0.0,0.0,0.0,1,0,4,-260,-515,-2,-3,-515,-259,-516,-516
2026-04-12 15:00:22.981,0,0,0,0.0,0.0,0.0,2,0,0,-515,-771,-771,-3,-771,-515,-771,-3
2026-04-12 15:00:22.981,0,0,0,0.0,0.0,0.0,2,0,2,-2,-771,-258,-258,-772,-515,-259,-515
2026-04-12 15:00:22.981,0,0,0,0.0,0.0,0.0,1,0,4,-514,-259,-3,-515
2026-04-12 15:00:22.981,0,0,0,0.0,0.0,0.0,2,0,0,-770,-3,-770,-259,-259,-771,-771,-515
2026-04-12 15:00:22.981,0,0,0,0.0,0.0,0.0,2,0,2,-772,-259,-260,-514,-771
2026-04-12 15:00:22.981,0,0,0,0.0,0.0,0.0,1,0,4,-256,-515,-259,-771,-516,-515,-3,-514
2026-04-12 15:00:22.981,0,0,0,0.0,0.0,0.0,2,0,0,-770,-771,-259,-259,-3
2026-04-12 15:00:22.981,0,0,0,0.0,0.0,0.0,2,0,2,-515,-771,-772,-771,-258,-259,-771,-259
2026-04-12 15:00:22.981,0,0,0,0.0,0.0,0.0,1,0,4,-258,-771,-258,-3,-515,-771,-3
2026-04-12 15:00:22.981,0,0,0,0.0,0.0,0.0,2,0,0,-259,-771,-771,-3,-259,-260,-771,-3
2026-04-12 15:00:22.981,0,0,0,0.0,0.0,0.0,2,0,2,-3,-771,-515,-515,-3
2026-04-12 15:00:22.981,0,0,0,0.0,0.0,0.0,1,0,4,-3,-259,-259,-515,-259,-771
2026-04-12 15:00:22.981,0,0,0,0.0,0.0,0.0,2,0,0,-515,-770,-515,-259,-3,-770,-259,-514
2026-04-12 15:00:22.981,0,0,0,0.0,0.0,0.0,2,0,2,-771,-259,-3,-3,-515,-771,-3,-770
2026-04-12 15:00:22.981,0,0,0,0.0,0.0,0.0,1,0,4,-771,-3,-515,-771,-515,-771,-771,-3
2026-04-12 15:00:22.981,0,0,0,0.0,0.0,0.0,2,0,0,-3,-515,-259,-3,-771,-259,-4
2026-04-12 15:00:22.981,0,0,0,0.0,0.0,0.0,2,0,2,-516,-3,-3,-515,-3,-3,-515,-258
2026-04-12 15:00:22.981,0,0,0,0.0,0.0,0.0,1,0,4,-259,-515,-258,-3,-515
2026-04-12 15:00:22.981,0,0,0,0.0,0.0,0.0,2,0,0,-515,-771,-515,-259,-770,-2,-515,-516
2026-04-12 15:00:22.981,0,0,0,0.0,0.0,0.0,2,0,2,-515,-771,-259,-516,-515,-3,-514,-771
2026-04-12 15:00:22.981,0,0,0,0.0,0.0,0.0,1,0,4,-259,-771,-3,-771
2026-04-12 15:00:22.981,0,0,0,0.0,0.0,0.0,2,0,0,-515,-770,-258,-771,-772
2026-04-12 15:00:22.981,0,0,0,0.0,0.0,0.0,2,0,2,-515,-515,-771,-515,-515,-772
2026-04-12 15:00:22.981,0,0,0,0.0,0.0,0.0,1,0,4,-514,-515,-771,-260,-259,-3,-515
2026-04-12 15:00:22.981,0,0,0,0.0,0.0,0.0,2,0,0,-771,-515,-4,-3,-771,-258,-258,-771
2026-04-12 15:00:22.981,0,0,0,0.0,0.0,0.0,2,0,2,-771,-2,-3,-771,-771,-771,-3,-260
2026-04-12 15:00:22.981,0,0,0,0.0,0.0,0.0,1,0,4,-771,-515,-771,-3,-3,-259,-771,-515
2026-04-12 15:00:22.981,0,0,0,0.0,0.0,0.0,2,0,0,-3,-3,-259,-259,-516,-259
2026-04-12 15:00:22.981,0,0,0,0.0,0.0,0.0,2,0,2,-771,-516,-771
2026-04-12 15:00:22.981,0,0,0,0.0,0.0,0.0,1,0,4,-770,-260,-259,-4,-260
2026-04-12 15:00:22.981,0,0,0,0.0,0.0,0.0,2,0,0,-771,-259,-772,-3,-516,-259,-2,-260
2026-04-12 15:00:22.981,0,0,0,0.0,0.0,0.0,2,0,2,-515,-771,-3
2026-04-12 15:00:22.981,0,0,0,0.0,0.0,0.0,1,0,4,-771,-259,-4,-260,-772,-515,-3
2026-04-12 15:00:22.981,0,0,0,0.0,0.0,0.0,2,0,0,-516,-771,-771,-770,-772,-3,-771,-259
